scenario,n_society,alpha,seed,placement,feedback_strength,defense,defense_mode,label,collapse_rate,collapse_day,max_collapse_score,retail_loss_pct_30d,harmful_profit,wealth_transfer,price_dislocation_max,liquidity_stress_max,social_cascade_peak,intervention_cost,utility_loss,false_positive_rate
s2,500,0.003,1,random,nan,0,,random,0.0,-1,0.6030040299100021,0.00014302751685223397,-271.0973419686925,-0.3806066025674653,0.16397915116176595,0.6559166046470639,0.16265060240963855,0.0,0.0,0.0
s2,500,0.003,2,random,nan,0,,random,0.0,-1,0.5013907407031668,-0.00011270915148761048,255.48640176653862,0.4551759075234046,0.14597905176024922,0.5839162070409969,0.1566265060240964,0.0,0.0,0.0
s2,500,0.003,3,random,nan,0,,random,0.0,-1,0.7796339450718258,0.0009619944654173222,-1767.9744236503902,-0.3690405270201858,0.24359647854406632,0.9743859141762652,0.3032128514056225,0.0,0.0,0.0
s2,500,0.003,4,random,nan,0,,random,0.0,-1,0.9074622096537855,-4.232139641748195e-06,-1407.667240128052,-66.78988132977157,0.2835329953510557,1.1341319814042228,0.10642570281124498,0.0,0.0,0.0
s2,500,0.003,5,random,nan,0,,random,1.0,6,1.1599544373159314,0.0006816736622829454,-2335.70371040373,-0.6880371580548774,0.33201724003739563,1.3280689601495825,0.19879518072289157,0.0,0.0,0.0
s2,500,0.003,6,random,nan,0,,random,0.0,-1,0.8732033391262882,-0.0005776856629522031,-739.9275266489421,-0.2571983937925683,0.27281071304914295,1.0912428521965718,0.10240963855421686,0.0,0.0,0.0
s2,500,0.003,7,random,nan,0,,random,0.0,-1,0.8661021447763221,0.0002935258526693521,-99.88641133620695,-0.06833303483867771,0.26587080637559873,1.0634832255023952,0.10040160642570281,0.0,0.0,0.0
s2,500,0.003,8,random,nan,0,,random,0.0,-1,0.8121369627378779,0.0004044582143953317,-1682.725520295644,-0.8354304073847943,0.24215892023812946,0.9686356809525178,0.09236947791164658,0.0,0.0,0.0
s2,500,0.003,1,high_degree,nan,0,,high_degree,1.0,4,2.638828378749732,0.005186039883864251,4175.484941473609,0.16167457448009695,0.6957544288313204,2.7830177153252817,0.8353413654618473,0.0,0.0,0.0
s2,500,0.003,2,high_degree,nan,0,,high_degree,1.0,4,1.8856512836726245,0.00331448334784333,4128.071004682861,0.2500932524396048,0.4494336789297834,1.797734715719134,0.893574297188755,0.0,0.0,0.0
s2,500,0.003,3,high_degree,nan,0,,high_degree,1.0,4,2.8295973662549043,0.006537207670120081,1916.0478754153446,0.05885518539040746,0.7495201385654161,2.9980805542616644,0.8775100401606426,0.0,0.0,0.0
s2,500,0.003,4,high_degree,nan,0,,high_degree,1.0,6,1.8094440093783313,0.002599331866226993,2510.247938105167,0.1939213140016632,0.43574750801194223,1.7429900320477687,0.8694779116465864,0.0,0.0,0.0
s2,500,0.003,5,high_degree,nan,0,,high_degree,1.0,5,2.4856566635596233,0.004889586271494104,1174.6427218336466,0.04823967088418733,0.6536401618711077,2.614560647484431,0.8514056224899599,0.0,0.0,0.0
s2,500,0.003,6,high_degree,nan,0,,high_degree,1.0,5,1.7638746894846178,0.0030607135310400666,2738.1630636337795,0.1796417518048059,0.41991354661003505,1.67965418644014,0.8855421686746988,0.0,0.0,0.0
s2,500,0.003,7,high_degree,nan,0,,high_degree,1.0,4,2.2421589425217396,0.00446173042775502,3917.0387416426966,0.17628899300871603,0.5642950239298156,2.2571800957192623,0.8714859437751004,0.0,0.0,0.0
s2,500,0.003,8,high_degree,nan,0,,high_degree,1.0,5,2.993464586528296,0.005849116927531574,2606.261538713443,0.08947430817143334,0.798801572301864,3.195206289207456,0.8815261044176707,0.0,0.0,0.0
s2,2000,0.003,1,random,nan,0,,random,0.0,-1,0.5265927581592573,2.0329260294220095e-05,-674.1818087657448,-1.6631457079583445,0.16453160883723597,0.658126435348944,0.15195586760280844,0.0,0.0,0.0
s2,2000,0.003,2,random,nan,0,,random,0.0,-1,0.6973984591503297,8.565756522694466e-05,1262.5204929703032,0.7391754878680227,0.19671761182624306,0.7868704473049721,0.1399197592778335,0.0,0.0,0.0
s2,2000,0.003,3,random,nan,0,,random,1.0,7,1.0283489475729537,0.0006376019614181643,-3274.4460105893086,-0.2575508786082035,0.3166239536360953,1.2664958145443812,0.06519558676028084,0.0,0.0,0.0
s2,2000,0.003,4,random,nan,0,,random,0.0,-1,0.9077726242567795,0.00023000439754766651,593.4901462431299,0.12940534627001224,0.28365450837761863,1.1346180335104745,0.06720160481444333,0.0,0.0,0.0
s2,2000,0.003,5,random,nan,0,,random,1.0,4,1.2048947111395008,0.0005341608835552392,-3672.9197190376,-0.34483727163058425,0.36577147520243114,1.4630859008097246,0.19307923771313942,0.0,0.0,0.0
s2,2000,0.003,6,random,nan,0,,random,0.0,-1,0.8734970907568576,0.00016070194639594348,-50.25402967556147,-0.015682836002373773,0.27293526393708223,1.091741055748329,0.19257773319959878,0.0,0.0,0.0
s2,2000,0.003,7,random,nan,0,,random,0.0,-1,0.9043069468514647,0.00030673190277320155,-105.59812461066758,-0.017265219442410617,0.2733866327646561,1.0935465310586245,0.14393179538615847,0.0,0.0,0.0
s2,2000,0.003,8,random,nan,0,,random,1.0,6,1.1955754870414255,0.0006860906987661195,-3043.2593307499774,-0.22244993161844231,0.35164495821534625,1.406579832861385,0.21664994984954863,0.0,0.0,0.0
s2,2000,0.003,1,high_degree,nan,0,,high_degree,1.0,4,3.1160136231280955,0.0050866043801338166,8038.675749849819,0.07925586246070841,0.8324817147803136,3.3299268591212545,0.9102306920762286,0.0,0.0,0.0
s2,2000,0.003,2,high_degree,nan,0,,high_degree,1.0,5,2.8821105399489397,0.003509240301933846,9964.639922000817,0.14240438005731892,0.7599210017130384,3.039684006852154,0.8996990972918756,0.0,0.0,0.0
s2,2000,0.003,3,high_degree,nan,0,,high_degree,1.0,4,3.5654008774291523,0.005959008743319709,4367.24177157355,0.036754291770801154,0.9702173754541488,3.880869501816595,0.9267803410230692,0.0,0.0,0.0
s2,2000,0.003,4,high_degree,nan,0,,high_degree,1.0,5,2.6402381064917755,0.002746353737396957,6860.603762261977,0.12527970106462824,0.6835890205664408,2.7343560822657635,0.9047141424272819,0.0,0.0,0.0
s2,2000,0.003,5,high_degree,nan,0,,high_degree,1.0,4,3.8264926275941833,0.00597264086787375,3546.2206581034698,0.029776537806181676,1.0579900418915023,4.231960167566009,0.8946840521564694,0.0,0.0,0.0
s2,2000,0.003,6,high_degree,nan,0,,high_degree,1.0,4,2.68192672207387,0.002607525125097711,7535.908807888685,0.14493790469785336,0.6957527499643201,2.7830109998572805,0.9102306920762286,0.0,0.0,0.0
s2,2000,0.003,7,high_degree,nan,0,,high_degree,1.0,4,3.4949267918011815,0.004755736044815059,9758.016386199626,0.10290077529045805,0.9450774582825369,3.780309833130147,0.940320962888666,0.0,0.0,0.0
s2,2000,0.003,8,high_degree,nan,0,,high_degree,1.0,5,3.836134240695007,0.005188553535493993,5863.494147850841,0.05667415321342064,1.061075913583584,4.244303654334336,0.8931795386158475,0.0,0.0,0.0
