scenario,defense,defense_score,delta_harm_reduction,delta_collapse,threshold_shift_raw,threshold_shift_normalized,harm_reduction_floor,delta_delay_days,utility_loss,false_positive_rate,intervention_cost,no_def_collapse_rate,def_collapse_rate,no_def_retail_loss,def_retail_loss,alpha_c_no_def,alpha_c_def,threshold_shift
s1,noguard,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.0007855150056831338,0.0007855150056831338,0.02,0.02,0.0
s1,random,-1.3138870385702066,0.07785820817174784,-0.09999999999999998,0.0,0.0,0.01,-0.2664473684210522,0.3700000000000003,0.0,0.3700000000000003,0.5333333333333333,0.6333333333333333,0.0007855150056831338,6.932923965655453e-06,0.02,0.02,0.0
s1,rule,-23.587029004029514,0.06966342390953062,-0.033333333333333326,0.0,0.0,0.01,-0.09926470588235325,6.896333333333323,564.0672014217197,6.896333333333323,0.5333333333333333,0.5666666666666667,0.0007855150056831338,8.88807665878277e-05,0.02,0.02,0.0
s1,oracle,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.0007855150056831338,0.0007855150056831338,0.02,0.02,0.0
s2,noguard,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.8666666666666667,0.8666666666666667,0.012950079830914726,0.012950079830914726,0.005,0.005,0.0
s2,random,21.522352165002935,0.9721556389992057,0.033333333333333326,0.0,0.0,0.01,-0.0723076923076924,0.3700000000000003,0.0,0.3700000000000003,0.8666666666666667,0.8333333333333334,0.012950079830914726,0.00036058669780109645,0.005,0.005,0.0
s2,rule,-2.3891604057955873,0.9674638688567604,0.033333333333333326,0.0,0.0,0.01,-0.0723076923076924,7.062333333333325,480.8296936399958,7.062333333333325,0.8666666666666667,0.8333333333333334,0.012950079830914726,0.00042134549569406376,0.005,0.005,0.0
s2,oracle,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.8666666666666667,0.8666666666666667,0.012950079830914726,0.012950079830914726,0.005,0.005,0.0
s3,noguard,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0004045562700742375,0.0004045562700742375,,,
s3,random,0.052604437068997735,0.03935032457551206,0.0,0.0,0.0,0.01,0.0,0.3700000000000003,0.0,0.3700000000000003,0.0,0.0,0.0004045562700742375,1.105302431911683e-05,,,
s3,rule,0.6964987453420924,0.04440836659996897,0.0,0.0,0.0,0.01,0.0,0.13066666666666668,0.0,0.13066666666666668,0.0,0.0,0.0004045562700742375,-3.9527395925452243e-05,,,
s3,oracle,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0004045562700742375,0.0004045562700742375,,,
s4,noguard,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.23333333333333334,0.23333333333333334,0.0002611767265163317,0.0002611767265163317,,,
s4,random,-2.4880413685136133,0.02502126332429454,-0.09999999999999998,0.0,0.0,0.01,0.0,0.3700000000000003,0.0,0.3700000000000003,0.23333333333333334,0.3333333333333333,0.0002611767265163317,1.0964093273386275e-05,,,
s4,rule,-52.4573063402389,0.037443247561105154,-0.36666666666666664,-0.09000000000000001,-0.9,0.01,9.222222222222221,7.4366666666666585,872.4079463147771,7.4366666666666585,0.23333333333333334,0.6,0.0002611767265163317,-0.00011325574909471991,,0.01,
s4,oracle,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.23333333333333334,0.23333333333333334,0.0002611767265163317,0.0002611767265163317,,,
