experiment,track,episodes,scenarios,n_values,alphas,seeds,defenses,conditions,source
Exp1 alpha sweep,Scaling,1650,1,3,11,50,1,1,outputs/scaling_theory/exp1_alpha_scaling/data.csv
Exp2 alpha_c(N),Scaling,3900,1,6,13,50,1,1,outputs/scaling_theory/exp2_society_size_scaling/data.csv
Exp3 centrality,Mechanism,80,1,2,1,20,1,2,outputs/scaling_theory/exp3_centrality_placement/data.csv
Exp4 feedback,Mechanism,400,1,1,1,50,1,8,outputs/scaling_theory/exp4_feedback_ablation/data.csv
Exp5 capacity,Scaling,1200,1,3,10,20,1,2,outputs/scaling_theory/exp5_capacity_control/data.csv
Exp6 LLM,LLM,300,1,1,15,20,1,1,outputs/scaling_theory/exp6_llm_n200_scaling/data.csv
Exp7 mechanisms,Scaling,5100,4,3,26,50,1,1,outputs/scaling_theory/exp7_cross_mechanism_threshold/data.csv
Exp8 sensitivity,Robustness,4400,4,1,4,50,1,22,outputs/scaling_theory/exp8_sensitivity_audit/data.csv
Alpha calibration,Protocol,1260,4,3,21,5,1,1,outputs/defense_benchmark/alpha_calibration/data.csv
Defense Exp5,Defense,255,2,1,16,5,3,3,outputs/defense_benchmark/exp5_wolfguard_defense/data.csv
Defense Exp6,Defense,9720,4,3,19,30,4,4,outputs/defense_benchmark/exp6/data.csv
