n_society,alpha,mean,n,successes,ci_low,ci_high
100,0.0,0.06,50,3,0.02061497034897397,0.16217091688838173
100,0.0025,0.06,50,3,0.02061497034897397,0.16217091688838173
100,0.005,0.06,50,3,0.02061497034897397,0.16217091688838173
100,0.0075,0.44,50,22,0.3116219921125717,0.5769397197834315
100,0.01,0.44,50,22,0.3116219921125717,0.5769397197834315
100,0.0125,0.44,50,22,0.3116219921125717,0.5769397197834315
100,0.015,0.68,50,34,0.5418970269185592,0.7924178373934316
100,0.0175,0.68,50,34,0.5418970269185592,0.7924178373934316
100,0.02,0.68,50,34,0.5418970269185592,0.7924178373934316
100,0.0225,0.68,50,34,0.5418970269185592,0.7924178373934316
100,0.025,0.68,50,34,0.5418970269185592,0.7924178373934316
100,0.03,0.78,50,39,0.6475845041874634,0.8724608402978559
100,0.04,0.8,50,40,0.6696289406777459,0.887562499842239
200,0.0,0.1,50,5,0.04347576493189041,0.21360231437479654
200,0.0025,0.1,50,5,0.04347576493189041,0.21360231437479654
200,0.005,0.34,50,17,0.2243694922250009,0.478461739497674
200,0.0075,0.44,50,22,0.3116219921125717,0.5769397197834315
200,0.01,0.44,50,22,0.3116219921125717,0.5769397197834315
200,0.0125,0.44,50,22,0.3116219921125717,0.5769397197834315
200,0.015,0.4,50,20,0.27608389730256544,0.5381856225241064
200,0.0175,0.62,50,31,0.48150446930992974,0.7413721068980641
200,0.02,0.62,50,31,0.48150446930992974,0.7413721068980641
200,0.0225,0.62,50,31,0.48150446930992974,0.7413721068980641
200,0.025,0.72,50,36,0.5833487630404344,0.8252582933408878
200,0.03,0.76,50,38,0.6258731624205708,0.8570260860300828
200,0.04,1.0,50,50,0.9286524008666414,1.0
500,0.0,0.18,50,9,0.09770192670234178,0.30796053674300783
500,0.0025,0.2,50,10,0.1124375001577611,0.3303710593222542
500,0.005,0.26,50,13,0.15871527493552393,0.39553157264848837
500,0.0075,0.28,50,14,0.17474170665911232,0.4166512369595657
500,0.01,0.46,50,23,0.3296965219222435,0.5960112860084253
500,0.0125,0.46,50,23,0.3296965219222435,0.5960112860084253
500,0.015,0.54,50,27,0.4039887139915748,0.6703034780777566
500,0.0175,0.52,50,26,0.38511744890044614,0.6520286471342196
500,0.02,0.74,50,37,0.6044684273515117,0.8412847250644762
500,0.0225,0.64,50,32,0.501410168761127,0.7586125034815325
500,0.025,0.86,50,43,0.7381380628941446,0.9304916657298371
500,0.03,0.92,50,46,0.8116175308165717,0.968450485911407
500,0.04,1.0,50,50,0.9286524008666414,1.0
1000,0.0,0.14,50,7,0.06950833427016294,0.2618619371058554
1000,0.0025,0.22,50,11,0.1275391597021442,0.3524154958125367
1000,0.005,0.22,50,11,0.1275391597021442,0.3524154958125367
1000,0.0075,0.34,50,17,0.2243694922250009,0.478461739497674
1000,0.01,0.38,50,19,0.2586278931019359,0.5184955306900703
1000,0.0125,0.38,50,19,0.2586278931019359,0.5184955306900703
1000,0.015,0.54,50,27,0.4039887139915748,0.6703034780777566
1000,0.0175,0.72,50,36,0.5833487630404344,0.8252582933408878
1000,0.02,0.86,50,43,0.7381380628941446,0.9304916657298371
1000,0.0225,0.96,50,48,0.8653990931249297,0.9889611156723802
1000,0.025,1.0,50,50,0.9286524008666414,1.0
1000,0.03,1.0,50,50,0.9286524008666414,1.0
1000,0.04,1.0,50,50,0.9286524008666414,1.0
2000,0.0,0.16,50,8,0.08337420678033404,0.2851421606303499
2000,0.0025,0.22,50,11,0.1275391597021442,0.3524154958125367
2000,0.005,0.24,50,12,0.1429739139699173,0.3741268375794292
2000,0.0075,0.32,50,16,0.20758216260656848,0.45810297308144077
2000,0.01,0.38,50,19,0.2586278931019359,0.5184955306900703
2000,0.0125,0.48,50,24,0.34797135286578046,0.6148825510995539
2000,0.015,0.6,50,30,0.4618143774758936,0.7239161026974346
2000,0.0175,0.86,50,43,0.7381380628941446,0.9304916657298371
2000,0.02,0.94,50,47,0.8378290831116182,0.979385029651026
2000,0.0225,1.0,50,50,0.9286524008666414,1.0
2000,0.025,1.0,50,50,0.9286524008666414,1.0
2000,0.03,1.0,50,50,0.9286524008666414,1.0
2000,0.04,1.0,50,50,0.9286524008666414,1.0
5000,0.0,0.22,50,11,0.1275391597021442,0.3524154958125367
5000,0.0025,0.22,50,11,0.1275391597021442,0.3524154958125367
5000,0.005,0.32,50,16,0.20758216260656848,0.45810297308144077
5000,0.0075,0.36,50,18,0.24138749651846741,0.49858983123887307
5000,0.01,0.38,50,19,0.2586278931019359,0.5184955306900703
5000,0.0125,0.58,50,29,0.4423344176857823,0.7062499664528802
5000,0.015,0.9,50,45,0.7863976856252035,0.9565242350681096
5000,0.0175,1.0,50,50,0.9286524008666414,1.0
5000,0.02,1.0,50,50,0.9286524008666414,1.0
5000,0.0225,1.0,50,50,0.9286524008666414,1.0
5000,0.025,1.0,50,50,0.9286524008666414,1.0
5000,0.03,1.0,50,50,0.9286524008666414,1.0
5000,0.04,1.0,50,50,0.9286524008666414,1.0
