scenario,n_society,alpha,seed,n_harmful,placement,feedback_strength,retail_wealth_scale,asset_liquidity_scale,defense,defense_mode,label,collapse_rate,collapse_day,max_collapse_score,retail_loss_pct_30d,harmful_profit,wealth_transfer,price_dislocation_max,liquidity_stress_max,social_cascade_peak,intervention_cost,utility_loss,false_positive_rate
s1,200,0.005,1,1,,nan,nan,nan,0,,per_agent_capacity,0.0,-1,0.7973167613896301,4.7229479019057437e-05,-1400.7870316987464,-14.904104298326422,0.24604778373560182,0.9841911349424073,0.020100502512562814,0.0,0.0,0.0
s1,200,0.005,2,1,,nan,nan,nan,0,,per_agent_capacity,0.0,-1,0.714358015987079,-0.0001891678325423559,-1094.433241809391,-2.9072937284271476,0.22012372653609047,0.8804949061443619,0.020100502512562814,0.0,0.0,0.0
s1,200,0.005,3,1,,nan,nan,nan,0,,per_agent_capacity,0.0,-1,0.8339663176152742,0.0006780240191876813,-3325.2502457365845,-2.464484997132042,0.26047188823299344,1.041887552931974,0.020100502512562814,0.0,0.0,0.0
s1,200,0.005,4,1,,nan,nan,nan,0,,per_agent_capacity,1.0,4,0.9655272176461447,1.316458938898397e-05,-1894.8495051559294,-72.32931106682757,0.301582517912118,1.206330071648472,0.020100502512562814,0.0,0.0,0.0
s1,200,0.005,5,1,,nan,nan,nan,0,,per_agent_capacity,1.0,4,0.9736399482888101,0.0005433395967997807,-3526.755184780748,-3.261751576289128,0.3041000366132506,1.2164001464530023,0.020100502512562814,0.0,0.0,0.0
s1,200,0.005,6,1,,nan,nan,nan,0,,per_agent_capacity,0.0,-1,0.8858543625826983,-0.00041125399756863077,-2025.0690653719212,-2.4744383080330197,0.27664498696920764,1.1065799478768303,0.020100502512562814,0.0,0.0,0.0
s1,200,0.005,7,1,,nan,nan,nan,0,,per_agent_capacity,0.0,-1,0.94920545854012,-6.31625534213106e-06,-1135.4668659369781,-90.33617766946381,0.29638527001977427,1.1855410800790969,0.020100502512562814,0.0,0.0,0.0
s1,200,0.005,8,1,,nan,nan,nan,0,,per_agent_capacity,1.0,6,1.0054967697547852,0.0003129587831675314,-2287.4770403712755,-3.672962740655781,0.3117371251021886,1.2469485004087542,0.020100502512562814,0.0,0.0,0.0
s1,200,0.005,9,1,,nan,nan,nan,0,,per_agent_capacity,1.0,4,1.1683461395293173,0.0004461870466095709,-2614.663739847623,-2.9447322301078813,0.3649400438988169,1.4597601755952674,0.020100502512562814,0.0,0.0,0.0
s1,200,0.005,10,1,,nan,nan,nan,0,,per_agent_capacity,1.0,4,1.0495030136845152,0.00014959119745207268,-2590.632238659753,-8.702552474551553,0.3254293566394048,1.3017174265576195,0.020100502512562814,0.0,0.0,0.0
s1,200,0.005,11,1,,nan,nan,nan,0,,per_agent_capacity,0.0,-1,0.7392283948868571,0.0005647541878005518,-2898.6272098946138,-2.579169166605899,0.23083352449945627,0.9233340979978251,0.020100502512562814,0.0,0.0,0.0
s1,200,0.005,12,1,,nan,nan,nan,0,,per_agent_capacity,1.0,3,1.1473153761944597,-4.221097494934185e-05,-2275.9327346050122,-27.094488877154742,0.358387888062419,1.4335515522496758,0.020100502512562814,0.0,0.0,0.0
s1,200,0.005,13,1,,nan,nan,nan,0,,per_agent_capacity,0.0,-1,0.8635061289487914,0.0007948256478506848,-1824.1548395928548,-1.153285284505185,0.26973616582661475,1.078944663306459,0.020100502512562814,0.0,0.0,0.0
