scenario,n_society,alpha_c_logistic,alpha_c_ci_low,alpha_c_ci_high,logistic_slope,transition_width_10_90,fit_method,bootstrap_successes
s1,500,0.013455419245593753,0.01168727454347832,0.015080865004099513,129.56307510747092,0.03391745025368762,logistic_fit,2000
s1,1000,0.012826768747226328,0.011449456952195647,0.014039660075168008,194.92433039078705,0.022544385022959343,logistic_fit,2000
s1,2000,0.011764391365772458,0.010349964666940105,0.012905424110925046,229.73709575787396,0.019128165349943594,logistic_fit,2000
s2,500,0.0011307346919775605,0.001025936173246441,0.0011828880265324874,5319.072886873577,0.000826168253027153,logistic_fit,2000
s2,1000,0.0005672521951247699,0.00044384820118242635,0.0005914183243074792,15819.725320622365,0.00027778289860342254,logistic_fit,2000
s2,2000,0.0002785095280963633,0.00018166945553903322,0.0003310364227730157,7772.243127839352,0.0005654029451204359,logistic_fit,2000
s3,500,,,,,,linear_fallback_constant_curve,0
s3,1000,0.549993415765178,0.549993415765178,0.549993415765178,276.1500482857852,0.015913265928980257,logistic_fit,2000
s3,2000,0.3749921934748027,0.3749921934748027,0.3749921934748027,548.6169037010434,0.00801005059273036,logistic_fit,2000
s4,500,0.05841997517318249,0.03090183100756378,0.10579287781375708,6.622448069706139,0.663568684634085,logistic_fit,2000
s4,1000,0.07602154268791304,0.03897172685498786,0.14999999999989092,4.74278667686796,0.9265542505011934,logistic_fit,2000
s4,2000,0.11224037267273665,0.05921081215931566,0.14999999999999997,3.5859290533667716,1.225470188972802,logistic_fit,2000
