scenario,n_society,alpha,mean,n,successes,ci_low,ci_high
s1,500,0.0,0.18,50,9,0.09770192670234178,0.30796053674300783
s1,500,0.0075,0.28,50,14,0.17474170665911232,0.4166512369595657
s1,500,0.01,0.46,50,23,0.3296965219222435,0.5960112860084253
s1,500,0.0125,0.46,50,23,0.3296965219222435,0.5960112860084253
s1,500,0.015,0.54,50,27,0.4039887139915748,0.6703034780777566
s1,500,0.0175,0.52,50,26,0.38511744890044614,0.6520286471342196
s1,500,0.02,0.74,50,37,0.6044684273515117,0.8412847250644762
s1,500,0.025,0.86,50,43,0.7381380628941446,0.9304916657298371
s1,500,0.03,0.92,50,46,0.8116175308165717,0.968450485911407
s1,1000,0.0,0.14,50,7,0.06950833427016294,0.2618619371058554
s1,1000,0.0075,0.34,50,17,0.2243694922250009,0.478461739497674
s1,1000,0.01,0.38,50,19,0.2586278931019359,0.5184955306900703
s1,1000,0.0125,0.38,50,19,0.2586278931019359,0.5184955306900703
s1,1000,0.015,0.54,50,27,0.4039887139915748,0.6703034780777566
s1,1000,0.0175,0.72,50,36,0.5833487630404344,0.8252582933408878
s1,1000,0.02,0.86,50,43,0.7381380628941446,0.9304916657298371
s1,1000,0.025,1.0,50,50,0.9286524008666414,1.0
s1,1000,0.03,1.0,50,50,0.9286524008666414,1.0
s1,2000,0.0,0.16,50,8,0.08337420678033404,0.2851421606303499
s1,2000,0.0075,0.32,50,16,0.20758216260656848,0.45810297308144077
s1,2000,0.01,0.38,50,19,0.2586278931019359,0.5184955306900703
s1,2000,0.0125,0.48,50,24,0.34797135286578046,0.6148825510995539
s1,2000,0.015,0.6,50,30,0.4618143774758936,0.7239161026974346
s1,2000,0.0175,0.86,50,43,0.7381380628941446,0.9304916657298371
s1,2000,0.02,0.94,50,47,0.8378290831116182,0.979385029651026
s1,2000,0.025,1.0,50,50,0.9286524008666414,1.0
s1,2000,0.03,1.0,50,50,0.9286524008666414,1.0
s2,500,0.0,0.2,50,10,0.1124375001577611,0.3303710593222542
s2,500,0.00025,0.2,50,10,0.1124375001577611,0.3303710593222542
s2,500,0.0005,0.2,50,10,0.1124375001577611,0.3303710593222542
s2,500,0.00075,0.2,50,10,0.1124375001577611,0.3303710593222542
s2,500,0.001,0.2,50,10,0.1124375001577611,0.3303710593222542
s2,500,0.0015,1.0,50,50,0.9286524008666414,1.0
s2,500,0.0025,1.0,50,50,0.9286524008666414,1.0
s2,500,0.005,1.0,50,50,0.9286524008666414,1.0
s2,1000,0.0,0.24,50,12,0.1429739139699173,0.3741268375794292
s2,1000,0.00025,0.24,50,12,0.1429739139699173,0.3741268375794292
s2,1000,0.0005,0.24,50,12,0.1429739139699173,0.3741268375794292
s2,1000,0.00075,0.98,50,49,0.8950455641036219,0.9964607407283539
s2,1000,0.001,0.98,50,49,0.8950455641036219,0.9964607407283539
s2,1000,0.0015,1.0,50,50,0.9286524008666414,1.0
s2,1000,0.0025,1.0,50,50,0.9286524008666414,1.0
s2,1000,0.005,1.0,50,50,0.9286524008666414,1.0
s2,2000,0.0,0.3,50,15,0.1910355350088095,0.4375035046445341
s2,2000,0.00025,0.3,50,15,0.1910355350088095,0.4375035046445341
s2,2000,0.0005,0.98,50,49,0.8950455641036219,0.9964607407283539
s2,2000,0.00075,1.0,50,50,0.9286524008666414,1.0
s2,2000,0.001,1.0,50,50,0.9286524008666414,1.0
s2,2000,0.0015,1.0,50,50,0.9286524008666414,1.0
s2,2000,0.0025,1.0,50,50,0.9286524008666414,1.0
s2,2000,0.005,1.0,50,50,0.9286524008666414,1.0
s3,500,0.0,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,500,0.15,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,500,0.25,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,500,0.3,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,500,0.35,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,500,0.4,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,500,0.5,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,500,0.6,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,1000,0.0,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,1000,0.15,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,1000,0.25,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,1000,0.3,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,1000,0.35,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,1000,0.4,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,1000,0.5,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,1000,0.6,1.0,50,50,0.9286524008666414,1.0
s3,2000,0.0,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,2000,0.15,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,2000,0.25,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,2000,0.3,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,2000,0.35,0.0,50,0,6.938893903907228e-18,0.07134759913335872
s3,2000,0.4,1.0,50,50,0.9286524008666414,1.0
s3,2000,0.5,1.0,50,50,0.9286524008666414,1.0
s3,2000,0.6,1.0,50,50,0.9286524008666414,1.0
s4,500,0.0,0.12,50,6,0.05617600150932274,0.23804817383202992
s4,500,0.01,0.42,50,21,0.2937500335471198,0.5576655823142176
s4,500,0.015,0.52,50,26,0.38511744890044614,0.6520286471342196
s4,500,0.02,0.54,50,27,0.4039887139915748,0.6703034780777566
s4,500,0.03,0.52,50,26,0.38511744890044614,0.6520286471342196
s4,500,0.05,0.54,50,27,0.4039887139915748,0.6703034780777566
s4,500,0.075,0.58,50,29,0.4423344176857823,0.7062499664528802
