scenario,family,min_collapse_rate,max_collapse_rate,delta_collapse_rate,value_at_min,value_at_max,n_values
s1,feedback_strength,0.54,0.54,0.0,0.0,0.0,5
s1,asset_liquidity_scale,0.5,0.6,0.09999999999999998,2.0,0.5,5
s1,retail_wealth_scale,0.5,0.6,0.09999999999999998,0.5,2.0,3
s1,retail_risk_appetite,0.54,0.54,0.0,0.01,0.01,3
s1,social_mean_degree,0.4,1.0,0.6,4,12,4
s1,placement,0.54,1.0,0.45999999999999996,random,high_degree,2
s2,feedback_strength,0.98,0.98,0.0,0.0,0.0,5
s2,asset_liquidity_scale,0.76,1.0,0.24,2.0,0.5,5
s2,retail_wealth_scale,0.76,1.0,0.24,0.5,2.0,3
s2,retail_risk_appetite,0.7,1.0,0.30000000000000004,0.01,0.04,3
s2,social_mean_degree,0.8,1.0,0.19999999999999996,4,16,4
s2,placement,0.2,0.98,0.78,random,high_degree,2
s3,feedback_strength,0.0,0.0,0.0,0.0,0.0,5
s3,asset_liquidity_scale,0.0,1.0,1.0,0.75,0.5,5
s3,retail_wealth_scale,0.0,0.0,0.0,0.5,0.5,3
s3,retail_risk_appetite,0.0,0.0,0.0,0.01,0.01,3
s3,social_mean_degree,0.0,0.0,0.0,4,4,4
s3,placement,0.0,0.0,0.0,random,random,2
s4,feedback_strength,0.52,0.52,0.0,0.0,0.0,5
s4,asset_liquidity_scale,0.5,0.54,0.040000000000000036,0.5,0.75,5
s4,retail_wealth_scale,0.5,0.54,0.040000000000000036,2.0,0.5,3
s4,retail_risk_appetite,0.5,0.54,0.040000000000000036,0.04,0.01,3
s4,social_mean_degree,0.52,0.52,0.0,4,4,4
s4,placement,0.52,0.52,0.0,random,random,2
