dataset,metric,model,n_points,amplitude,beta,nu_or_gamma,alpha_inf,r2,log_r2,note
exp2_s1,alpha_c,power,6,0.02681474847376705,-0.11631666507071724,0.11631666507071724,,0.8621088230437485,0.890767389543713,primary S1 scaling
exp2_s1,alpha_c,alpha_inf_plus_power,6,0.02530743389620626,-0.1069439111822484,0.1069439111822484,3.323107608241371e-11,0.8685901590408243,0.8845776873532913,descriptive finite-size model; six N points
exp2_s1,transition_width_10_90,power,6,0.12513585245068717,-0.22728604246496537,0.22728604246496537,,0.7439650573074171,0.8371430551422999,finite-size transition sharpening
exp2_s1_n_ge_500,alpha_c,power,4,0.038692140971136865,-0.16508912163122944,0.16508912163122944,,0.9925963940990191,0.9921487192083196,exclude small-N nonmonotonic finite-size noise
exp2_s1_n_ge_500,transition_width_10_90,power,4,0.18336367314887117,-0.2791371282228076,0.2791371282228076,,0.8553056748804057,0.86169109998923,stable-regime transition sharpening
exp5_per_agent_capacity,alpha_c,power,3,0.01645952417537069,-0.05918162617878341,0.05918162617878341,,0.350307083308794,0.41848071955037147,capacity-control robustness check
exp5_per_agent_capacity,transition_width_10_90,power,3,0.46952598004950324,-0.40499746083546073,0.40499746083546073,,0.9154474515478351,0.8933185216405438,capacity-control width check
exp5_fixed_total_capacity,alpha_c,power,3,0.00461340951562281,0.11603170082656011,-0.11603170082656011,,0.4484846766057695,0.5596995133316998,capacity-control robustness check
exp5_fixed_total_capacity,transition_width_10_90,power,3,0.6296878168849639,-0.4538273433418618,0.4538273433418618,,0.947052546359627,0.9382898476431976,capacity-control width check
exp7_s1,alpha_c,power,3,0.024726860360191418,-0.0968803295518184,0.0968803295518184,,0.9724764885313112,0.9731910424072718,cross-mechanism threshold audit
exp7_s1,transition_width_10_90,power,3,0.42449455288183346,-0.41316460648118564,0.41316460648118564,,0.9494381544079187,0.9429054683211074,cross-mechanism transition width
exp7_s2,alpha_c,power,3,0.606529319192172,-1.0107309375621611,1.0107309375621611,,0.9999095403054754,0.9999212835724894,cross-mechanism threshold audit
exp7_s2,transition_width_10_90,power,3,0.0033505159964989303,-0.27357811256578946,0.27357811256578946,,0.2054192593764299,0.11745453496060154,cross-mechanism transition width
exp7_s3,alpha_c,power,2,25.00453868858075,-0.5525537854113749,0.5525537854113749,,1.0,1.0,cross-mechanism threshold audit
exp7_s3,transition_width_10_90,power,2,14.88673319029752,-0.9903466947772417,0.9903466947772417,,1.0,1.0,cross-mechanism transition width
exp7_s4,alpha_c,power,3,0.0030628704956768013,0.4710290270480984,-0.4710290270480984,,0.9882988570425667,0.9876895630160704,cross-mechanism threshold audit
exp7_s4,transition_width_10_90,power,3,0.04280488237256632,0.4425088402536569,-0.4425088402536569,,0.997244127820982,0.9974015136072883,cross-mechanism transition width
