scenario,n_society,primary_metric,alpha_c_logistic,alpha_c_ci_low,alpha_c_ci_high,alpha_c_linear,logistic_slope,transition_width_10_90,fit_method,bootstrap_successes,coverage_status,p_min,p_max,p_delta,alpha_grid
s1,500,generic_collapse,0.012683079144151503,0.010198001842306594,0.014956113107552176,0.013333333333333334,127.48122539361788,0.034471343847722685,logistic_fit,1000,crosses_0.5,0.2,1.0,0.8,0.0;0.0075;0.01;0.0125;0.015;0.0175;0.02;0.025;0.03;0.04
s1,1000,generic_collapse,0.01261063517052925,0.01063038334678343,0.014265728416557029,0.014375,189.35938724178078,0.023206925300521014,logistic_fit,1000,crosses_0.5,0.16666666666666666,1.0,0.8333333333333334,0.0;0.0075;0.01;0.0125;0.015;0.0175;0.02;0.025;0.03;0.04
s1,2000,generic_collapse,0.011453362251353998,0.009455153856708495,0.013079804641794928,0.0125,215.77719449950797,0.02036567935209881,logistic_fit,1000,crosses_0.5,0.2,1.0,0.8,0.0;0.0075;0.01;0.0125;0.015;0.0175;0.02;0.025;0.03;0.04
s2,500,generic_collapse,0.0008405593722580613,0.0006771210841085237,0.0010603782393429893,0.0010714285714285715,2780.6243594796324,0.001580382168375601,logistic_fit,1000,crosses_0.5,0.3,1.0,0.7,0.0;0.00025;0.0005;0.00075;0.001;0.00125;0.0015;0.00175;0.002;0.0025;0.003;0.005
s2,1000,generic_collapse,0.0004606981599974558,0.00031948995589921927,0.0005669989418599595,0.0005714285714285715,4811.13603539716,0.0009133911663151873,logistic_fit,1000,crosses_0.5,0.3,1.0,0.7,0.0;0.00025;0.0005;0.00075;0.001;0.00125;0.0015;0.00175;0.002;0.0025;0.003;0.005
s2,2000,generic_collapse,0.00030763356331734354,0.00019610875116803233,0.0003205490549246137,0.00032954545454545454,15934.341669934965,0.0002757847952365624,logistic_fit,1000,crosses_0.5,0.26666666666666666,1.0,0.7333333333333334,0.0;0.00025;0.0005;0.00075;0.001;0.00125;0.0015;0.00175;0.002;0.0025;0.003;0.005
s3,500,spoof_liquidity_failure,0.0750188411767036,0.0750188411767036,0.0750188411767036,0.075,183.99170417431876,0.023883952672719512,logistic_fit,1000,crosses_0.5,0.0,1.0,1.0,0.0;0.15;0.25;0.35;0.45;0.6;0.75;0.9;1.0
s3,1000,spoof_liquidity_failure,0.0750188411767036,0.0750188411767036,0.0750188411767036,0.075,183.99170417431876,0.023883952672719512,logistic_fit,1000,crosses_0.5,0.0,1.0,1.0,0.0;0.15;0.25;0.35;0.45;0.6;0.75;0.9;1.0
s3,2000,spoof_liquidity_failure,0.0750188411767036,0.0750188411767036,0.0750188411767036,0.075,183.99170417431876,0.023883952672719512,logistic_fit,1000,crosses_0.5,0.0,1.0,1.0,0.0;0.15;0.25;0.35;0.45;0.6;0.75;0.9;1.0
s4,500,fake_liquidity_failure,0.025404635978636583,0.022743873323655243,0.03063377826102676,0.025333333333333333,206.8072365141725,0.021249010570146498,logistic_fit,1000,crosses_0.5,0.0,0.9333333333333333,0.9333333333333333,0.0;0.005;0.01;0.015;0.02;0.03;0.05;0.075;0.1;0.15;0.2
s4,1000,fake_liquidity_failure,0.020121367739028485,0.01981959111093903,0.0237746910758388,0.02142857142857143,2210.3401737334825,0.001988132508694252,logistic_fit,1000,crosses_0.5,0.0,0.9666666666666667,0.9666666666666667,0.0;0.005;0.01;0.015;0.02;0.03;0.05;0.075;0.1;0.15;0.2
s4,2000,fake_liquidity_failure,0.02317614241293668,0.02046825657845957,0.025019842286895203,0.024166666666666666,512.254650480761,0.008578641795732185,logistic_fit,1000,crosses_0.5,0.0,0.9666666666666667,0.9666666666666667,0.0;0.005;0.01;0.015;0.02;0.03;0.05;0.075;0.1;0.15;0.2
