scenario,n_society,primary_metric,alpha_c_logistic,alpha_c_ci_low,alpha_c_ci_high,alpha_c_linear,logistic_slope,transition_width_10_90,fit_method,bootstrap_successes,coverage_status,p_min,p_max,p_delta,alpha_grid
s1,500,generic_collapse,0.012683079144151503,0.010198001842306594,0.014956113107552176,0.013333333333333334,127.48122539361788,0.034471343847722685,logistic_fit,1000,crosses_0.5,0.2,1.0,0.8,0.0;0.0075;0.01;0.0125;0.015;0.0175;0.02;0.025;0.03;0.04
s1,1000,generic_collapse,0.01261063517052925,0.01063038334678343,0.014265728416557029,0.014375,189.35938724178078,0.023206925300521014,logistic_fit,1000,crosses_0.5,0.16666666666666666,1.0,0.8333333333333334,0.0;0.0075;0.01;0.0125;0.015;0.0175;0.02;0.025;0.03;0.04
s1,2000,generic_collapse,0.011453362251353998,0.009455153856708495,0.013079804641794928,0.0125,215.77719449950797,0.02036567935209881,logistic_fit,1000,crosses_0.5,0.2,1.0,0.8,0.0;0.0075;0.01;0.0125;0.015;0.0175;0.02;0.025;0.03;0.04
s1,10000,generic_collapse,0.0056758222764940955,0.0022176800800476535,0.00855706980160443,0.005000000000000001,173.0945064017295,0.02538757148348488,logistic_fit,1000,crosses_0.5,0.36666666666666664,1.0,0.6333333333333333,0.0;0.0075;0.01;0.0125;0.015;0.0175;0.02;0.025;0.03;0.04
s2,500,generic_collapse,0.0007164412113621516,0.0006592402754979084,0.0007680280518491128,0.0010142857142857143,2207.8888647836015,0.0019903398331161675,logistic_fit,1000,crosses_0.5,0.3,1.0,0.7,0.0;4e-05;5e-05;6e-05;7e-05;7.5e-05;8e-05;9e-05;0.0001;0.000125;0.00015;0.000175;0.0002;0.000225;0.00025;0.000275;0.0003;0.00035;0.0004;0.00045;0.0005;0.00055;0.0006;0.00065;0.0007;0.00075;0.0008;0.00085;0.0009;0.00095;0.001;0.00105;0.0011;0.00115;0.0012;0.00125;0.0013;0.0014;0.0015;0.00175;0.002;0.0025;0.003;0.004;0.005
s2,1000,generic_collapse,0.0003561690991632585,0.00032388321081774376,0.00038666852503775487,0.0005142857142857143,4798.620808214733,0.0009157733712048271,logistic_fit,1000,crosses_0.5,0.3,1.0,0.7,0.0;4e-05;5e-05;6e-05;7e-05;7.5e-05;8e-05;9e-05;0.0001;0.000125;0.00015;0.000175;0.0002;0.000225;0.00025;0.000275;0.0003;0.00035;0.0004;0.00045;0.0005;0.00055;0.0006;0.00065;0.0007;0.00075;0.0008;0.00085;0.0009;0.00095;0.001;0.00105;0.0011;0.00115;0.0012;0.00125;0.0013;0.0014;0.0015;0.00175;0.002;0.0025;0.003;0.004;0.005
s2,2000,generic_collapse,0.00020613433655497477,0.00018967134755206184,0.0002206843580485472,0.0002579545454545455,10741.422688949506,0.00040911239431936074,logistic_fit,1000,crosses_0.5,0.26666666666666666,1.0,0.7333333333333334,0.0;4e-05;5e-05;6e-05;7e-05;7.5e-05;8e-05;9e-05;0.0001;0.000125;0.00015;0.000175;0.0002;0.000225;0.00025;0.000275;0.0003;0.00035;0.0004;0.00045;0.0005;0.00055;0.0006;0.00065;0.0007;0.00075;0.0008;0.00085;0.0009;0.00095;0.001;0.00105;0.0011;0.00115;0.0012;0.00125;0.0013;0.0014;0.0015;0.00175;0.002;0.0025;0.003;0.004;0.005
s2,10000,generic_collapse,1.0922049215625428e-26,7.852833280163555e-30,1.531692909213121e-20,0.0,37885.704917670126,0.00011599227635389305,logistic_fit,1000,left_censored_above_threshold,0.7333333333333333,1.0,0.2666666666666667,0.0;4e-05;5e-05;6e-05;7e-05;7.5e-05;8e-05;9e-05;0.0001;0.000125;0.00015;0.000175;0.0002;0.000225;0.00025;0.000275;0.0003;0.00035;0.0004;0.00045;0.0005;0.00055;0.0006;0.00065;0.0007;0.00075;0.0008;0.00085;0.0009;0.00095;0.001;0.00105;0.0011;0.00115;0.0012;0.00125;0.0013;0.0014;0.0015;0.00175;0.002;0.0025;0.003;0.004;0.005
s3,500,spoof_liquidity_failure,0.08874819279084978,0.08874819279084978,0.08874819279084978,0.08875,10597.0858786094,0.0004146846788835403,logistic_fit,1000,crosses_0.5,0.0,1.0,1.0,0.0;0.0005;0.001;0.0015;0.002;0.0025;0.003;0.004;0.005;0.006;0.0075;0.009;0.01;0.0125;0.015;0.0175;0.02;0.0225;0.025;0.0275;0.03;0.0325;0.035;0.0375;0.04;0.0425;0.045;0.0475;0.05;0.0525;0.055;0.0575;0.06;0.0625;0.065;0.0675;0.07;0.0725;0.075;0.0775;0.08;0.0825;0.085;0.0875;0.09;0.095;0.1;0.11;0.125;0.15
s3,1000,spoof_liquidity_failure,0.06375106542546126,0.06375106542546126,0.06375106542546126,0.06375,10529.09091123265,0.0004173626376408575,logistic_fit,1000,crosses_0.5,0.0,1.0,1.0,0.0;0.0005;0.001;0.0015;0.002;0.0025;0.003;0.004;0.005;0.006;0.0075;0.009;0.01;0.0125;0.015;0.0175;0.02;0.0225;0.025;0.0275;0.03;0.0325;0.035;0.0375;0.04;0.0425;0.045;0.0475;0.05;0.0525;0.055;0.0575;0.06;0.0625;0.065;0.0675;0.07;0.0725;0.075;0.0775;0.08;0.0825;0.085;0.0875;0.09;0.095;0.1;0.11;0.125;0.15
