scenario,n_society,alpha,seed,n_harmful,placement,feedback_strength,social_mean_degree,retail_wealth_scale,retail_risk_appetite,asset_liquidity_scale,n_llm_leaders,llm_provider,llm_model,llm_backend,defense,defense_mode,label,collapse_rate,collapse_day,primary_metric,primary_failure_rate,primary_failure_day,primary_failure_score_max,max_collapse_score,retail_loss_pct_30d,harmful_profit,wealth_transfer,price_dislocation_max,liquidity_stress_max,social_cascade_peak,intervention_cost,utility_loss,false_positive_rate,wash_share_max,volume_distortion_max,volume_signal_z_max,cancel_rate_max,spoof_depth_to_liquidity_max,withdrawal_loss_max
s1,500,0.0,1,0,,nan,-1,nan,nan,nan,0,,,,0,,,0.0,-1,generic_collapse,0.0,-1,0.4066660411649359,0.4066660411649359,-0.00016616804399657994,0,0.0,0.12708313786404246,0.5083325514561698,0.0,0.0,0.0,0.0,0.0,0.0,1.3998914097997768,0.0,0.0,0.0
s1,500,0.0,2,0,,nan,-1,nan,nan,nan,0,,,,0,,,0.0,-1,generic_collapse,0.0,-1,0.7647483838146515,0.7647483838146515,-0.00019464091355726122,0,0.0,0.2389838699420786,0.9559354797683144,0.0,0.0,0.0,0.0,0.0,0.0,2.385853365366795,0.0,0.0,0.0
s1,500,0.0,3,0,,nan,-1,nan,nan,nan,0,,,,0,,,0.0,-1,generic_collapse,0.0,-1,0.7929282595874554,0.7929282595874554,0.0005988884613551199,0,0.0,0.24779008112107978,0.9911603244843192,0.0,0.0,0.0,0.0,0.0,0.0,0.22058265209627437,0.0,0.0,0.0
s1,500,0.0,4,0,,nan,-1,nan,nan,nan,0,,,,0,,,0.0,-1,generic_collapse,0.0,-1,0.8941455456915874,0.8941455456915874,0.0002592455829296261,0,0.0,0.27942048302862105,1.1176819321144844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s1,500,0.0,5,0,,nan,-1,nan,nan,nan,0,,,,0,,,0.0,-1,generic_collapse,0.0,-1,0.7036412210110934,0.7036412210110934,0.0007315491639072075,0,0.0,0.21988788156596675,0.8795515262638667,0.0,0.0,0.0,0.0,0.0,0.0,0.24062615190937237,0.0,0.0,0.0
s1,500,0.0,6,0,,nan,-1,nan,nan,nan,0,,,,0,,,0.0,-1,generic_collapse,0.0,-1,0.8512066837174359,0.8512066837174359,-9.932157886158675e-05,0,0.0,0.2660020886616988,1.0640083546467949,0.0,0.0,0.0,0.0,0.0,0.0,0.42102153011320564,0.0,0.0,0.0
s1,500,0.0,7,0,,nan,-1,nan,nan,nan,0,,,,0,,,0.0,-1,generic_collapse,0.0,-1,0.827275459209237,0.827275459209237,-5.4856582665070893e-05,0,0.0,0.2585235810028865,1.034094324011546,0.0,0.0,0.0,0.0,0.0,0.0,1.14856314778507,0.0,0.0,0.0
s1,500,0.0,8,0,,nan,-1,nan,nan,nan,0,,,,0,,,0.0,-1,generic_collapse,0.0,-1,0.5877355636310759,0.5877355636310759,0.00017475862799119204,0,0.0,0.18359715555467412,0.7343886222186966,0.0,0.0,0.0,0.0,0.0,0.0,0.4192292107616055,0.0,0.0,0.0
s1,500,0.0,9,0,,nan,-1,nan,nan,nan,0,,,,0,,,0.0,-1,generic_collapse,0.0,-1,0.8909487088498615,0.8909487088498615,0.000641862764846161,0,0.0,0.2784214715155817,1.1136858860623269,0.0,0.0,0.0,0.0,0.0,0.0,0.06326533001226468,0.0,0.0,0.0
s1,500,0.0,10,0,,nan,-1,nan,nan,nan,0,,,,0,,,0.0,-1,generic_collapse,0.0,-1,0.8786519824513526,0.8786519824513526,0.00020954448438789697,0,0.0,0.27457874451604763,1.0983149780641908,0.0,0.0,0.0,0.0,0.0,0.0,0.564510990661504,0.0,0.0,0.0
s1,500,0.0,11,0,,nan,-1,nan,nan,nan,0,,,,0,,,0.0,-1,generic_collapse,0.0,-1,0.730970790006409,0.730970790006409,0.00048120853302311155,0,0.0,0.2284283718770028,0.9137134875080113,0.0,0.0,0.0,0.0,0.0,0.0,0.18357618107426713,0.0,0.0,0.0
