scenario,n_society,alpha,primary_metric,primary_failure_mean,primary_failure_n,primary_failure_successes,primary_failure_ci_low,primary_failure_ci_high,primary_failure_score_mean,collapse_rate_mean,collapse_rate_ci_low,collapse_rate_ci_high,max_collapse_score_mean,retail_loss_pct_mean,liquidity_stress_mean,cancel_rate_mean,spoof_depth_to_liquidity_mean,wash_share_mean,volume_distortion_mean,withdrawal_loss_mean
s3,500,0.0,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.0,0.0,0.0,0.11351339317396876,0.11347884793568849,0.009077140869056997,0.1359098624253014,0.0,0.0,0.0,0.0,0.0
s3,500,0.001,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.0,0.0,0.0,0.11351339317396876,0.11347884793568849,0.009077140869056997,0.1359098624253014,0.0,0.0,0.0,0.0,0.0
s3,500,0.0025,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.02262741699796952,0.0,0.0,0.11351339317396876,0.16985736336464816,0.010147836486150339,0.2561466095554917,0.3384755984755986,1.131370849898476,0.0,0.0,0.0
s3,500,0.005,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.04525483399593904,0.0,0.0,0.11351339317396876,0.3015564182463277,0.00909263374778259,0.4707214480670622,0.3980502652948473,2.262741699796952,0.0,0.0,0.0
s3,500,0.0075,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.09050966799187808,0.0,0.0,0.11351339317396876,0.4781782840025716,0.010328624994319016,0.7701599782984039,0.45055175086134835,4.525483399593904,0.0,0.0,0.0
s3,500,0.01,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.1131370849898476,0.0,0.0,0.11351339317396876,0.5365526186020226,0.009484364643040618,0.863575679925221,0.4555572121753412,5.656854249492378,0.0,0.0,0.0
s3,500,0.015,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.18101933598375616,0.0,0.0,0.11351339317396876,0.6726044264683998,0.009375256385738629,1.091410353761527,0.47294929850394485,9.050966799187808,0.0,0.0,0.0
s3,500,0.02,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.2262741699796952,0.0,0.0,0.11351339317396876,0.7338494243844487,0.00816515311417508,1.1978027396130904,0.4770766974157958,11.313708498984756,0.0,0.0,0.0
s3,500,0.03,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.3394112549695427,0.0,0.0,0.11351339317396876,0.8597116386155311,0.009444640331512464,1.4025832937786324,0.48553546305322937,16.970562748477146,0.0,0.0,0.0
s3,500,0.05,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.5656854249492381,0.0,0.0,0.11351339317396876,1.0155737016126423,0.008552082726499861,1.6579405173261808,0.49094335149051305,28.2842712474619,0.0,0.0,0.0
s3,500,0.075,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.8598418459228415,0.0,0.0,0.11351339317396876,1.1473338771509056,0.008276061158501557,1.8700996439871966,0.4942110868576075,42.99209229614209,0.0,0.0,0.0
s3,500,0.1,spoof_liquidity_failure,1.0,30,30,0.8864866068260312,0.9999999999999999,1.1018497135544967,0.0,0.0,0.11351339317396876,1.2344198965370778,0.007835415576424897,2.0095968395540558,0.4958323710995235,56.5685424949238,0.0,0.0,0.0
s3,500,0.125,spoof_liquidity_failure,1.0,30,30,0.8864866068260312,0.9999999999999999,1.1040016996602076,0.0,0.0,0.11351339317396876,1.3013013151718296,0.0067690193402445125,2.1187161306846,0.49680076484709346,70.1449926937055,0.0,0.0,0.0
s3,500,0.15,spoof_liquidity_failure,1.0,30,30,0.8864866068260312,0.9999999999999999,1.105283188184574,0.0,0.0,0.11351339317396876,1.3624769088011583,0.006674470374719617,2.2146398565069316,0.49737743468305823,84.85281374238565,0.0,0.0,0.0
s3,1000,0.0,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.0,0.0,0.0,0.11351339317396876,0.11838341155035675,0.017072923440969116,0.13445396642666171,0.0,0.0,0.0,0.0,0.0
s3,1000,0.001,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.016000000000000004,0.0,0.0,0.11351339317396876,0.11967635014910402,0.016294471396834764,0.14856699386965258,0.22722058414008878,0.8000000000000003,0.0,0.0,0.0
s3,1000,0.0025,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.03200000000000001,0.0,0.0,0.11351339317396876,0.1980942650204284,0.01715357988158125,0.29727495186548586,0.31111605560826117,1.6000000000000005,0.0,0.0,0.0
s3,1000,0.005,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.08000000000000002,0.0,0.0,0.11351339317396876,0.4031155147743652,0.016717197827033237,0.6449600508428246,0.4007362109839904,4.0,0.0,0.0,0.0
s3,1000,0.0075,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.12800000000000003,0.0,0.0,0.11351339317396876,0.5364460309496849,0.016949707433023507,0.8657076784339659,0.43253376418604267,6.400000000000002,0.0,0.0,0.0
s3,1000,0.01,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.16000000000000003,0.0,0.0,0.11351339317396876,0.6028238283673386,0.01730301782057727,0.9727880854557128,0.44273493728850494,8.0,0.0,0.0,0.0
s3,1000,0.015,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.24000000000000005,0.0,0.0,0.11351339317396876,0.7307787560707076,0.016708571472470492,1.1826947751391266,0.46109868473567417,12.0,0.0,0.0,0.0
s3,1000,0.02,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.32000000000000006,0.0,0.0,0.11351339317396876,0.8210722607147367,0.016033601829807124,1.3329478198109554,0.47047209579445914,16.0,0.0,0.0,0.0
s3,1000,0.03,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.4800000000000001,0.0,0.0,0.11351339317396876,0.9524876747813852,0.016185470421707617,1.5476684318037284,0.4808102318973735,24.0,0.0,0.0,0.0
s3,1000,0.05,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.8000000000000003,0.0,0.0,0.11351339317396876,1.115150207882329,0.01739402788593135,1.8127307034540705,0.48813667027143987,40.0,0.0,0.0,0.0
s3,1000,0.075,spoof_liquidity_failure,1.0,30,30,0.8864866068260312,0.9999999999999999,1.095127170455407,0.0,0.0,0.11351339317396876,1.2465438951396735,0.01718832513487795,2.025868348337042,0.4928072267049332,60.0,0.0,0.0,0.0
s3,1000,0.1,spoof_liquidity_failure,1.0,30,30,0.8864866068260312,0.9999999999999999,1.0987102113939085,0.0,0.0,0.11351339317396876,1.3383494480681302,0.0156446161531213,2.1727017718604715,0.49441959512725886,80.0,0.0,0.0,0.0
s3,1000,0.125,spoof_liquidity_failure,1.0,30,30,0.8864866068260312,0.9999999999999999,1.101750867201269,0.0,0.0,0.11351339317396876,1.4095461365531585,0.015405978629010855,2.2881208642507027,0.495787890240571,100.0,0.0,0.0,0.0
s3,1000,0.15,spoof_liquidity_failure,1.0,30,30,0.8864866068260312,0.9999999999999999,1.103543214921847,0.0,0.0,0.11351339317396876,1.46831869354417,0.016219303703825818,2.3815629525508317,0.4965944467148312,120.0,0.0,0.0,0.0
s3,2000,0.0,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.0,0.0,0.0,0.11351339317396876,0.12145843914826983,0.020752697850025998,0.13554992633754137,0.0,0.0,0.0,0.0,0.0
s3,2000,0.001,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.02262741699796952,0.0,0.0,0.11351339317396876,0.12806671633986058,0.020916093204465133,0.1576015634695252,0.20030513137959144,1.131370849898476,0.0,0.0,0.0
s3,2000,0.0025,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.0565685424949238,0.0,0.0,0.11351339317396876,0.2729240859000779,0.02088547584507704,0.4227972496566817,0.3149435548826575,2.828427124746189,0.0,0.0,0.0
s3,2000,0.005,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.1131370849898476,0.0,0.0,0.11351339317396876,0.4557898180927998,0.02143553723227935,0.7307604449933195,0.3854939397065875,5.656854249492378,0.0,0.0,0.0
s3,2000,0.0075,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.16970562748477136,0.0,0.0,0.11351339317396876,0.5796996925158073,0.02100985242615374,0.9377651755621682,0.4168324548460768,8.485281374238573,0.0,0.0,0.0
s3,2000,0.01,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.2262741699796952,0.0,0.0,0.11351339317396876,0.6732095418141247,0.020881246877409224,1.0932716590370009,0.43544267784872254,11.313708498984756,0.0,0.0,0.0
s3,2000,0.015,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.3394112549695427,0.0,0.0,0.11351339317396876,0.8099158269939274,0.02130834972028556,1.3172098711247267,0.4559815502948436,16.970562748477146,0.0,0.0,0.0
s3,2000,0.02,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.4525483399593904,0.0,0.0,0.11351339317396876,0.9059891251144183,0.02089547610914447,1.4739587380878707,0.46608750135526605,22.62741699796951,0.0,0.0,0.0
s3,2000,0.03,spoof_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.6788225099390854,0.0,0.0,0.11351339317396876,1.0440265692339061,0.021264062948067507,1.696232988125375,0.477319392493803,33.94112549695429,0.0,0.0,0.0
s3,2000,0.05,spoof_liquidity_failure,1.0,30,30,0.8864866068260312,0.9999999999999999,1.0811318656865423,0.0,0.0,0.11351339317396876,1.2164798283531306,0.02090318263997347,1.971810813850521,0.48650933955894404,56.5685424949238,0.0,0.0,0.0
s3,2000,0.075,spoof_liquidity_failure,1.0,30,30,0.8864866068260312,0.9999999999999999,1.0908196423109138,0.0,0.0,0.11351339317396876,1.3489677740196682,0.019983950941636085,2.1856594598984964,0.4908688390399112,84.85281374238565,0.0,0.0,0.0
s3,2000,0.1,spoof_liquidity_failure,1.0,30,30,0.8864866068260312,0.9999999999999999,1.09640436397275,0.0,0.0,0.11351339317396876,1.44374665527572,0.020206165963235986,2.3373478266938883,0.4933819637877376,113.1370849898476,0.0,0.0,0.0
s3,2000,0.125,spoof_liquidity_failure,1.0,30,30,0.8864866068260312,0.9999999999999999,1.0997677410958056,0.0,0.0,0.11351339317396876,1.5173918587015371,0.018940553075699876,2.4540827554430944,0.4948954834931125,141.42135623730945,0.0,0.0,0.0
s3,2000,0.15,spoof_liquidity_failure,1.0,30,30,0.8864866068260312,0.9999999999999999,1.1021129073577562,0.0,0.0,0.11351339317396876,1.5777093152848847,0.018882183029033363,2.5491576934360523,0.49595080831099025,169.7056274847713,0.0,0.0,0.0
s4,500,0.0,fake_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.0,0.16666666666666666,0.0733654237184855,0.3356435050641603,0.7943462001682519,0.0002094116294221332,0.9928839650790798,0.0,0.0,0.0,0.0,0.04990999908337148
s4,500,0.01,fake_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.4503257436325681,0.4666666666666667,0.30232388907699753,0.638577003801267,0.9534277548190676,0.0002465231789906042,1.1916967031990933,0.0,0.0,0.2624125211483251,0.36026059490605444,0.07326341621009105
s4,500,0.0125,fake_liquidity_failure,0.0,30,0,0.0,0.11351339317396876,0.4573894217221738,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.9555114786153637,0.00033435952521044274,1.1942219147620639,0.0,0.0,0.2636941123864464,0.3667799885442512,0.07326979578987869
s4,500,0.015,fake_liquidity_failure,0.13333333333333333,30,4,0.053096554840547455,0.296813266820363,0.8533238819754266,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.9826387500132788,0.000273811580769555,1.2281389261166884,0.0,0.0,0.42318136113770494,0.7932467599413074,0.07495313193751667
s4,500,0.0175,fake_liquidity_failure,0.03333333333333333,30,1,0.005908590381612455,0.16670390991409173,0.8166046882890362,0.6,0.42320360253322475,0.7540937188319815,0.9912527001850039,0.000259282902637838,1.23906472807131,0.0,0.0,0.40016700331729627,0.6822458412672368,0.07408692576537815
s4,500,0.02,fake_liquidity_failure,0.23333333333333334,30,7,0.11792388144489496,0.40928326158122164,0.8630801045761728,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.9918777697087388,0.0002644066244253356,1.2401603718155865,0.0,0.0,0.41471185819429485,0.7266425196475537,0.07418442683174489
s4,500,0.0225,fake_liquidity_failure,0.16666666666666666,30,5,0.0733654237184855,0.3356435050641603,0.8698571393342757,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.988274430243137,0.00028914179390788353,1.2352336580955503,0.0,0.0,0.4282033478948293,0.8079292793578313,0.07488462795715778
s4,500,0.025,fake_liquidity_failure,0.8,30,24,0.6269430358685175,0.9049489282271013,1.0984579723659114,0.6333333333333333,0.4551356365479487,0.7812607919389929,0.9994426778802111,0.0002974876838480631,1.2492420592660287,0.0,0.0,0.5240280888155526,1.1306714699857665,0.07507583111224916
s4,500,0.0275,fake_liquidity_failure,0.8,30,24,0.6269430358685175,0.9049489282271013,1.1153261540761792,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.9851787921975421,0.00027995670085221615,1.2309020314801762,0.0,0.0,0.536482811987755,1.2282340493385882,0.07636652219666736
s4,500,0.03,fake_liquidity_failure,0.7333333333333333,30,22,0.555520383048111,0.8581733668040368,1.0642025588499338,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.9931098689750659,0.00026353911379197316,1.2416792063150506,0.0,0.0,0.5146595142303516,1.1111753403823479,0.0745598643863327
s4,500,0.035,fake_liquidity_failure,0.8333333333333334,30,25,0.6643564949358397,0.9266345762815146,1.2031451997273008,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.9847508198073,0.00028929519340967214,1.230018446496856,0.0,0.0,0.5907351491857055,1.5264146441949082,0.07536546807340304
s4,500,0.04,fake_liquidity_failure,0.9,30,27,0.7437891742081593,0.9654001112526658,1.2175190552498054,0.5333333333333333,0.36142299619873297,0.6976761109230025,0.9887827803190548,0.0002636063701608283,1.2355721176858387,0.0,0.0,0.6391952761368621,1.8512477216515288,0.07513694045387136
s4,500,0.05,fake_liquidity_failure,0.8333333333333334,30,25,0.6643564949358397,0.9266345762815146,1.2314529083859782,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.9953658289357905,0.00024597659937615853,1.2452014822209136,0.0,0.0,0.6922795397512094,2.3711288112177527,0.07396511852875089
